Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
45, 2097152, 1, 8, 512, 2.72196, 2.94607, N/A, 0.596704, 0.68487, 2209.92, 9.26614, 4, 4, 1, 1, 8, 1, 73.364, 2, 8, 4, 1, 8, 1, 80.6297, 
45, 2097152, 1, 8, 512, 2.72196, 2.94607, N/A, 0.596704, 0.68487, 2209.92, 9.26614, 4, 4, 1, 1, 8, 1, 73.364, 2, 8, 4, 1, 8, 1, 80.6297, 
45, 2097152, 4, 8, 512, 2.90184, 2.65227, N/A, 0.792885, 0.851217, 578.997, 11.4742, 4, 2, 1, 1, 8, 1, 54.3298, 2, 2, 2, 1, 4, 1, 81.5842, 
45, 262144, 4, 8, 512, 2.41714, 2.33883, N/A, 0.658021, 0.669446, 93.549, 4.96464, 4, 2, 1, 1, 8, 1, 14.5516, 2, 2, 0.5, 1, 1, 1, 70.5687, 
45, 524288, 4, 8, 512, 2.48451, 2.40013, N/A, 0.678967, 0.694458, 163.275, 5.94616, 4, 2, 1, 1, 8, 1, 25.0041, 2, 2, 1, 1, 2, 1, 74.0366, 
45, 1048576, 4, 8, 512, 2.63376, 2.49739, N/A, 0.716643, 0.757198, 302.574, 7.59985, 4, 2, 1, 1, 8, 1, 39.051, 2, 2, 1, 1, 2, 1, 77.7283, 
45, 2097152, 4, 8, 512, 2.90184, 2.65227, N/A, 0.792885, 0.851217, 578.997, 11.4742, 4, 2, 1, 1, 8, 1, 54.3298, 2, 2, 2, 1, 4, 1, 81.5842, 
45, 4194304, 4, 8, 512, 3.53084, 2.94607, N/A, 0.930134, 1.03777, 1133.72, 18.4579, 4, 2, 1, 1, 8, 1, 67.5626, 2, 4, 2, 1, 4, 1, 78.9464, 
45, 8388608, 4, 8, 512, 4.47269, 2.94607, N/A, 1.21975, 1.34647, 2245.49, 39.4961, 4, 4, 1, 1, 8, 1, 68.0139, 4, 4, 4, 1, 8, 1, 79.6819, 
45, 16777216, 4, 8, 512, 6.36235, 8.93631, N/A, 1.74213, 1.69031, 4361.86, 74.6677, 2, 8, 1, 1, 8, 2, 71.3645, 4, 8, 4, 1, 8, 1, 78.6563, 
45, 16777216, 4, 8, 512, 6.0982, 2.94902, N/A, 1.91831, 2.09085, 4414.35, 87.0994, 4, 8, 1, 2, 8, 1, 68.2208, 2, 2, 8, 16, 1, 1, 89.8673, 
45, 16777216, 4, 8, 512, 7.25566, 3.61606, N/A, 2.99833, 3.74451, 4400.16, 68.7428, 8, 2, 2, 4, 8, 1, 77.927, 2, 2, 8, 4, 4, 1, 89.9646, 
45, 16777216, 4, 8, 512, 6.2188, 2.94607, N/A, 1.75931, 1.83396, 4424.76, 90.0912, 4, 8, 1, 1, 8, 1, 65.9569, 2, 2, 8, 4, 4, 1, 89.9646, 
